----------------------Start Line Analysis--------------
Line20(BZ LABEL_1)    Block:2 --> 4
Line22(GOTO LABEL_2)    Block:3 --> 4
Line29(BZ LABEL_3)    Block:6 --> 8
Line33(BZ LABEL_6)    Block:8 --> 10
Line35(GOTO LABEL_8)    Block:9 --> 14
Line37(BZ LABEL_7)    Block:10 --> 12
Line39(GOTO LABEL_8)    Block:11 --> 14
Line42(call factorial)    Block:12 --> 6
Line54(BZ LABEL_9)    Block:16 --> 17
Line56(BZ LABEL_11)    Block:17 --> 19
Line59(call factorial)    Block:19 --> 6
Line62(call factorial)    Block:20 --> 6
Line67(call factorial)    Block:21 --> 6
Line90(call C)    Block:26 --> 16
Line97(BZ LABEL_14)    Block:27 --> 30
Line99(GOTO LABEL_16)    Block:29 --> 34
Line101(BZ LABEL_15)    Block:30 --> 33
Line103(GOTO LABEL_16)    Block:32 --> 34
Line144(BZ LABEL_18)    Block:36 --> 38
Line147(GOTO LABEL_20)    Block:37 --> 40
Line149(BZ LABEL_19)    Block:38 --> 40
Line152(GOTO LABEL_20)    Block:39 --> 40
Line157(BZ LABEL_22)    Block:40 --> 42
Line159(GOTO LABEL_25)    Block:41 --> 47
Line161(BZ LABEL_23)    Block:42 --> 44
Line164(GOTO LABEL_25)    Block:43 --> 47
Line166(BZ LABEL_24)    Block:44 --> 46
Line173(GOTO LABEL_25)    Block:45 --> 47
Line187(call mymax)    Block:49 --> 2
Line192(call mymax)    Block:50 --> 2
Line197(BZ LABEL_26)    Block:51 --> 56
Line199(BZ LABEL_28)    Block:52 --> 54
Line201(GOTO LABEL_29)    Block:53 --> 55
Line203(GOTO LABEL_27)    Block:55 --> 59
Line205(BZ LABEL_30)    Block:56 --> 58
Line207(GOTO LABEL_31)    Block:57 --> 59
Line214(BZ LABEL_32)    Block:59 --> 61
Line217(GOTO LABEL_33)    Block:60 --> 62
Line235(BZ LABEL_35)    Block:65 --> 67
Line236(GOTO LABEL_34)    Block:66 --> 65
Line241(BZ LABEL_37)    Block:68 --> 70
Line242(GOTO LABEL_36)    Block:69 --> 68
Line253(BZ LABEL_38)    Block:70 --> 72
Line256(GOTO LABEL_39)    Block:71 --> 73
Line291(BZ LABEL_42)    Block:77 --> 79
Line292(GOTO LABEL_41)    Block:78 --> 77
Line296(BZ LABEL_43)    Block:79 --> 81
Line297(GOTO LABEL_40)    Block:80 --> 76
Line303(BZ LABEL_44)    Block:81 --> 83
Line306(GOTO LABEL_45)    Block:82 --> 84
Line319(call mymax)    Block:86 --> 2
Line323(call mymax)    Block:87 --> 2
Line328(call mymax)    Block:88 --> 2
Line333(call init)    Block:91 --> 24
Line337(BZ LABEL_47)    Block:93 --> 96
Line344(call work)    Block:94 --> 26
Line363(call C)    Block:96 --> 16
Line372(BZ LABEL_49)    Block:97 --> 99
Line373(GOTO LABEL_46)    Block:98 --> 93
Line374(call test_max)    Block:99 --> 49
Line375(call test_for_1_loop)    Block:100 --> 64
Line376(call test_switch)    Block:101 --> 36
Line378(call test_for_2_loop)    Block:102 --> 75
Line379(call test_call)    Block:103 --> 86
Line382(BZ LABEL_50)    Block:104 --> 107
Line383(call test_call)    Block:105 --> 86
Line388(GOTO LABEL_51)    Block:106 --> 108

Line17 (Block1)    NEXT: 2
Line20 (Block2)    NEXT: 3
Line27 (Block5)    NEXT: 6
Line29 (Block6)    NEXT: 7
Line33 (Block8)    NEXT: 9
Line37 (Block10)    NEXT: 11
Line42 (Block12)    NEXT: 13
Line44 (Block13)    NEXT: 14
Line52 (Block15)    NEXT: 16
Line54 (Block16)    NEXT: 17
Line56 (Block17)    NEXT: 18
Line59 (Block19)    NEXT: 20
Line62 (Block20)    NEXT: 21
Line67 (Block21)    NEXT: 22
Line72 (Block23)    NEXT: 24
Line87 (Block25)    NEXT: 26
Line90 (Block26)    NEXT: 27
Line97 (Block27)    NEXT: 28
Line101 (Block30)    NEXT: 31
Line109 (Block35)    NEXT: 36
Line144 (Block36)    NEXT: 37
Line149 (Block38)    NEXT: 39
Line157 (Block40)    NEXT: 41
Line161 (Block42)    NEXT: 43
Line166 (Block44)    NEXT: 45
Line175 (Block46)    NEXT: 47
Line182 (Block48)    NEXT: 49
Line187 (Block49)    NEXT: 50
Line192 (Block50)    NEXT: 51
Line197 (Block51)    NEXT: 52
Line199 (Block52)    NEXT: 53
Line202 (Block54)    NEXT: 55
Line205 (Block56)    NEXT: 57
Line208 (Block58)    NEXT: 59
Line214 (Block59)    NEXT: 60
Line219 (Block61)    NEXT: 62
Line224 (Block63)    NEXT: 64
Line229 (Block64)    NEXT: 65
Line235 (Block65)    NEXT: 66
